""," ","Default","Adjusted"
"1","Centered",8236.88909149425,13120.1127294115
"2","MM",12117.4969069599,9859.43387384596
"3","Constrained P",7134.59111358421,5677.79331463723
"4","Noncentered",17342.7148398284,29182.2828382206
"5","Marginal q",13741.297811611,13480.760324328
"6","Explicit F",6560.70049187798,7110.26945182399
"7","Explicit F marg q",6164.59143335362,6408.33048527032
